iter	RMSE
249	99789314.74
250	99758897.73
251	99709524.59
252	99655005.56
253	99587058.36
254	99535897.84
255	99467530.29
256	99445710.48
257	99411101.92
258	99372686.35
259	99346554.39
260	99331815.01
261	99253219.91
262	99229887.4
263	99209983.48
264	99159129.2
265	99081725.05
266	99050422.8
267	99012409.76
268	98990142.45
269	98949210.5
270	98871855.48
271	98815021.31
272	98794802.33
273	98730024.17
274	98706557.1
275	98679871.58
276	98653138.81
277	98580404.19
278	98499855.89
279	98471861.75
280	98439741.38
281	98385018.02
282	98316832.15
283	98292156.78
284	98210484.28
285	98165486.08
286	98119817.68
287	98091359.37
288	98063402.03
289	98029972.48
290	98012883.16
291	97942573.67
292	97925478.43
293	97905948.57
294	97877314.56
295	97850123.17
296	97833510.59
297	97809453.54
298	97742690.32
299	97667428.95
300	97610977.31
301	97586775.05
302	97545944.12
303	97520546.33
304	97489859.07
305	97453914.73
306	97430917.2
307	97391026.7
308	97379473.92
309	97358300.74
310	97328825.46
311	97303393.05
312	97280825.97
313	97273233.45
314	97242305.85
315	97201122.2
316	97172274
317	97131124.67
318	97104283.48
319	97056301.81
320	97032803.21
321	97006231.66
322	96978233.43
323	96939187.65
324	96917167.81
325	96901968.27
326	96880066.1
327	96861058.21
328	96830472.64
329	96808844.57
330	96784062.72
331	96758167.32
332	96732754.13
333	96707281.45
334	96655727.17
335	96623022.82
336	96602680.48
337	96577865.85
338	96558967.17
339	96538854.72
340	96514065.09
341	96468954.84
342	96444995.78
343	96421294.84
344	96397749.17
345	96378736.31
346	96249919.31
347	96220474.49
348	96192627.36
349	96170722.86
350	95993965.84
351	95975949.18
352	95803807.4
353	95774532.36
354	95753198.01
355	95735140.81
356	95714300.38
357	95690479.5
358	95519407.88
359	95353598.21
360	95330182.32
361	95311800.16
362	95284077.53
363	95256837.09
364	95231451.98
365	95204498.22
366	95187858.11
367	95173643.88
368	95147126.38
369	94991924.43
370	94965654.11
371	94939802.41
372	94914130.61
373	94888732.01
374	94862805.02
375	94837728.59
376	94812478.17
377	94787595.55
378	94627574.07
379	94612124.44
380	94587483.02
381	94568583.63
382	94552869.1
383	94407786.16
384	94389824.99
385	94369104.06
386	94348621.58
387	94326023.76
388	94303683.84
389	94158556.7
390	94136538.37
391	94121943.94
392	94107817.37
393	94084585.69
394	94070326.52
395	94047428.23
396	93964049.11
397	93941700.6
398	93802192.53
399	93780037.49
400	93766569.59
401	93744749.28
402	93603061.13
403	93586649.34
404	93574305.5
405	93532924.23
406	93520595.01
407	93505742.01
408	93480366.19
409	93439905
410	93304811.63
411	93279990.95
412	93255497.15
413	93215998.5
414	93204425.88
415	93165505.15
416	93127074.45
417	93028414.26
418	92990527.42
419	92979366.57
420	92857604.11
421	92820210.02
422	92778052.03
423	92741559.76
424	92705515.14
425	92669909.84
426	92659225.19
427	92639409.67
428	92599329.78
429	92564784.61
430	92525641.39
431	92487007.12
432	92448891.94
433	92411267.77
434	92364086.66
435	92320861.58
436	92302594.61
437	92295085.97
438	92285629.96
439	92149729.82
440	92104378.6
441	92016283.83
442	91974787.14
443	91934044.23
444	91899336.2
445	91836218.03
446	91792865.66
447	91754176.22
448	91693375.05
449	91686939.49
450	91649470.57
451	91617079.53
452	91483427.65
453	91451381.08
454	91419740.88
455	91320907.97
456	91219554.58
457	91183661.82
458	91142668.31
459	91083750.25
460	91077650.9
461	91069207.55
462	91011642.91
463	90914176.68
464	90874830.74
465	90866593.28
466	90754280.81
467	90660482.62
468	90566936.31
469	90476513.13
470	90362904.27
471	90257913.05
472	90252811.73
473	90247765.83
474	90161511.27
475	90156856.02
476	90073291.49
477	89967651.93
478	89848599.67
479	89834009.43
480	89753463.44
481	89683318.36
482	89609158.65
483	89533040.73
484	89519133.97
485	89465413.97
486	89450753.42
487	89377226.99
488	89372509.8
489	89270588.55
490	89160414.45
491	89119160.16
492	89107081.18
493	89077674.21
494	89073033.64
495	89068469.27
496	88972891.75
497	88902905.98
498	88819467.37
499	88806515.53
500	88778806.92
501	88682333.33
502	88677851.54
503	88648156.95
504	88600912.17
505	88596812.52
506	88551251.33
507	88485139.99
508	88447252.18
509	88335990.39
510	88286863.53
511	88282874.38
512	88248499.48
513	88178902.16
514	88098425.02
515	88015411.14
516	87926614.56
517	87918438.42
518	87893043.91
519	87888833.81
520	87884672.3
521	87839171.38
522	87797282.77
523	87793211.47
524	87723061.43
525	87682287.02
526	87602067.83
527	87523888.47
528	87439606.62
529	87356947.6
530	87326080.34
531	87291844.48
532	87211204.77
533	87207264.09
534	87113762.65
535	87036228.97
536	86997441.37
537	86959377.95
538	86899737.06
539	86810335.45
540	86745733.86
541	86710980.7
542	86635517.07
543	86537010.54
544	86511895.71
545	86474828.58
546	86394880.7
547	86374169.14
548	86334169.63
549	86269796.41
550	86194790.54
551	86118933.2
552	86081988.92
553	85981838.42
554	85924027.39
555	85862477.58
556	85826645.84
557	85758828.6
558	85746627.26
559	85712942.95
560	85679873.64
561	85649814.01
562	85567594.29
563	85549426.32
564	85483306.43
565	85438052.27
566	85378478.38
567	85345778.55
568	85273419.93
569	85242349.98
570	85176326.18
571	85146812.24
572	85095974.93
573	84979455.4
574	84892458.21
575	84862772.66
576	84765965.17
577	84664445.93
578	84578492.13
579	84549709.92
580	84451908.3
581	84424105.72
582	84340445.47
583	84274137.34
584	84193172.53
585	84074939.01
586	83990086.45
587	83926520.22
588	83858313.33
589	83823661.96
590	83718828.71
591	83639421.34
592	83520347.44
593	83424187.44
594	83361394.86
595	83300838.37
596	83232451.12
597	83145810.31
598	83047530.66
599	83013788.62
600	82930096.84
601	82872426.41
602	82815686.16
603	82756600.1
604	82701731.33
605	82622764.2
606	82532013.46
607	82499906.57
608	82456214.12
609	82414291.33
610	82345396.82
611	82289892.01
612	82258450.41
613	82204876.7
614	82124049.46
615	82069584.91
616	82008456.16
617	81945068.77
618	81905988.55
619	81867965.09
620	81807423.13
621	81777678.01
622	81706742.7
623	81648227.18
624	81576916.16
625	81525674.89
626	81474260.39
627	81445529.91
628	81379217.3
629	81276880.98
630	81230650.94
631	81174633.82
632	81073982.82
633	81021209.31
634	80993424.8
635	80966283.35
636	80939742.29
637	80879198.78
638	80831189.29
639	80793270.31
640	80732834.49
641	80684223.32
642	80630863.43
643	80610149.34
644	80581064.56
645	80556043.82
646	80452721.26
647	80422815.29
648	80381836.54
649	80340935.6
650	80311646.56
651	80209805.82
652	80154796.88
653	80063793.17
654	80044619.88
655	79994124.66
656	79962596.13
657	79927208.21
658	79880073.25
659	79865622.45
660	79766299.26
661	79747313.7
662	79725582.11
663	79703989.99
664	79688458.06
665	79622727.12
666	79608695.16
667	79587435.44
668	79567841.96
669	79531970.27
670	79432819.34
671	79404668.31
672	79377562.81
673	79358398.83
674	79328160.88
675	79299400.09
676	79255482
677	79248040.63
678	79214368.3
679	79182296.08
680	79161318.98
681	79134454.17
682	79113891
683	79092520.83
684	78992218.6
685	78972886.49
686	78946555.23
687	78922140.49
688	78897963.57
689	78880163.61
690	78849373.92
691	78811173.86
692	78785568.76
693	78753741.65
694	78734406.14
695	78710587.78
696	78691629.48
697	78666821.27
698	78635743.47
699	78617234.62
700	78593064.23
701	78542148.21
702	78495950.09
703	78486451.94
704	78421835.84
705	78398230.86
706	78378351.6
707	78316241.27
708	78265311.3
709	78235710.7
710	78231208.12
711	78199234.65
712	78135833.18
713	78053813.42
714	78034771.04
715	78001286.85
716	77972495.24
717	77915035.19
718	77892193.51
719	77873631.49
720	77784550.38
721	77704713.85
722	77641321.31
723	77611853.24
724	77577545.83
725	77485557.3
726	77463312.33
727	77374611.09
728	77329169.94
729	77308627.95
730	77280303.03
731	77224393.23
732	77174848.21
733	77166033.54
734	77128113.74
735	77084190.25
736	77066813.65
737	77031560.82
738	76990086.47
739	76956050.27
740	76928847.5
741	76901228.29
742	76864734.12
743	76799855.84
744	76773354.01
745	76747577.99
746	76680234.43
747	76649958.4
748	76624881.32
749	76609080.13
750	76604954.16
751	76582440.7
752	76547694.8
753	76496773.73
754	76409223.69
755	76385146.05
756	76336619.23
757	76307060.14
758	76293456.31
759	76284515.44
760	76263827.6
761	76193247.54
762	76142533.27
763	76098028.57
764	76047102.31
765	75983082.07
766	75957424.21
767	75946171.08
768	75912225.51
769	75834831.52
770	75830899.27
771	75813550.02
772	75801500.29
773	75778917.33
774	75708010.68
775	75693715.42
776	75651572.05
777	75601226.43
778	75597869.7
779	75573606.48
780	75547613.13
781	75519456.65
782	75481952.46
783	75402390.84
784	75394578.37
785	75367122.75
786	75338368.33
787	75325263.34
788	75287547.01
789	75279506.67
790	75258857.66
791	75243987.35
792	75211428.73
793	75181537.92
794	75117452.71
795	75040367.51
796	75032542.71
797	74980091.06
798	74928177.75
799	74901455.58
800	74875417.84
801	74852534.74
802	74831364.28
803	74823674.66
804	74784509.74
805	74722548.96
806	74684174.15
807	74610517.77
808	74547143.02
809	74491979.24
810	74452410.97
811	74395074.22
812	74357077.68
813	74295409.34
814	74289282.1
815	74267493.38
816	74206936.68
817	74147652.18
818	74077737.55
819	74074118.51
820	74042612.33
821	74022425.39
822	73987985.46
823	73967174.33
824	73914949.13
825	73855755.31
826	73798533.58
827	73781702.92
828	73751659.5
829	73714768.59
830	73695524.59
831	73655053.72
832	73638083.9
833	73588917.19
834	73532044.48
835	73473054.6
836	73437767.27
837	73418854.29
838	73406612.78
839	73387301.26
840	73376354.85
841	73352078.1
842	73297533.35
843	73265917.19
844	73219739.29
845	73161632.55
846	73122624.99
847	73092303.41
848	73062865.44
849	73044644.01
850	72990391.45
851	72918932.03
852	72844289.03
853	72801323.64
854	72769169.34
855	72739272.56
856	72702546.45
857	72684755.9
858	72617362.45
859	72584346.6
860	72562755.8
861	72541256.1
862	72512864.65
863	72493008.52
864	72425774.33
865	72370948.41
866	72357600.29
867	72311748.61
868	72277073.28
869	72225163.71
870	72160072.25
871	72096404.87
872	72083736.21
873	72066332.4
874	72055462.39
875	72028192.82
876	71966756.17
877	71924777.38
878	71907532.65
879	71863821.27
880	71816938.73
881	71799940.59
882	71787022.6
883	71738495.9
884	71669839.23
885	71607481.41
886	71568933.21
887	71523824.63
888	71493658.9
889	71434455.93
890	71417829.74
891	71400673.91
892	71384388.05
893	71357768.86
894	71329047.38
895	71315237.74
896	71284394.36
897	71225312.83
898	71205657.32
899	71162998.67
900	71147027.34
901	71124711.42
902	71115170.63
903	71058537.39
904	71047461.69
905	71030933.78
906	71028882.35
907	71017953.71
908	70986780.58
909	70939046
910	70903839.16
911	70831171.22
912	70822780.74
913	70754925.19
914	70746711.68
915	70736051.67
916	70726037.86
917	70683015.68
918	70667737.66
919	70661803.81
920	70598142.54
921	70567721.62
922	70541280.92
923	70516169.79
924	70510829.67
925	70452343.76
926	70425605.22
927	70420333.33
928	70394297.63
929	70379683.94
930	70347763.43
931	70341717.73
932	70325070.35
933	70263930.08
934	70215823.29
935	70208290.09
936	70203237.5
937	70190536.27
938	70185536.79
939	70123354.98
940	70099050.14
941	70089060.93
942	70060017.78
943	70046099.79
944	70021568.9
945	69963633.47
946	69953180.51
947	69919366.92
948	69885916.28
949	69821339.53
950	69791700.25
951	69763906.24
952	69739889.25
953	69684041.97
954	69637842.59
955	69607867.64
956	69549797.82
957	69520769.03
958	69487144.33
959	69477848.64
960	69454077.65
961	69411348.64
962	69390795
963	69364502.97
964	69359621.86
965	69354637.38
966	69298851.77
967	69280713.99
968	69223692.68
969	69192451.46
970	69164645.87
971	69141550.1
972	69103857.24
973	69066993.85
974	69047038.25
975	69024488.41
976	69011055.12
977	69006302.93
978	68996338.16
979	68933835.53
980	68868580.96
981	68837026.39
982	68816223.05
983	68814378.11
984	68801339.09
985	68779009.35
986	68774315.54
987	68746494.68
988	68727492.35
989	68666337.22
990	68612572.42
991	68550546.53
992	68506884.68
993	68481533.59
994	68454321.93
995	68434189.98
996	68397010.39
997	68358995.7
998	68301906.28
999	68280730.35
1000	68243791.56
1001	68235783.71
1002	68207447.99
1003	68187001.6
1004	68165442.47
1005	68144280.91
1006	68128965.72
1007	68074663.27
1008	68058783.41
1009	68048253.18
1010	67998220.66
1011	67977430.85
1012	67975644.29
1013	67950012.23
1014	67891549.43
1015	67835134.22
1016	67776488.24
1017	67754367.13
1018	67752120.26
1019	67724811.49
1020	67723065.13
1021	67691222.07
1022	67664058.78
1023	67633482.48
1024	67609200.43
1025	67605274.14
1026	67583660.66
1027	67573765.46
1028	67553616.56
1029	67543876.22
1030	67496012.31
1031	67461301.22
1032	67411434.74
1033	67365577.01
1034	67340097.05
1035	67315799.37
1036	67299946.9
1037	67289651.85
1038	67253380.39
1039	67239416.14
1040	67219833.15
1041	67171728.28
1042	67122265.95
1043	67099410.84
1044	67072081.51
1045	67025155.97
1046	66992096.63
1047	66944310.5
1048	66940799.56
1049	66907624.74
1050	66895305.27
1051	66852247.02
1052	66812618.1
1053	66770809.22
1054	66725974.99
1055	66688550.22
1056	66664503.7
1057	66624569.45
1058	66616368.17
1059	66604567.88
1060	66586647.47
1061	66559870.06
1062	66516688.79
1063	66493326.38
1064	66455568.68
1065	66412068.35
1066	66403354.96
1067	66381105.23
1068	66330143.51
1069	66316524.97
1070	66302104.79
1071	66253298.31
1072	66212476.32
1073	66174550.68
1074	66153543.94
1075	66126953.57
1076	66118429.5
1077	66088909.57
1078	66055269.47
1079	66031417.29
1080	65985757.13
1081	65956151.71
1082	65915758.44
1083	65892949.13
1084	65870115.17
1085	65847465.13
1086	65824491.22
1087	65811889.2
1088	65800097.42
1089	65782324.22
1090	65757373.97
1091	65715727.98
1092	65708675.55
1093	65670947.23
1094	65659745.81
1095	65616256.31
1096	65597317.5
1097	65586102.2
1098	65563056.11
1099	65548522.8
1100	65537628.94
1101	65519318.76
1102	65482539.63
1103	65447662.92
1104	65417632.42
1105	65383711.64
1106	65360669.56
1107	65332524.47
1108	65313920.36
1109	65292842.24
1110	65261939.32
1111	65233487.45
1112	65215688.29
1113	65184896.57
1114	65161303.15
1115	65134237.17
1116	65113011.17
1117	65101993.52
1118	65069990.78
1119	65044342.98
1120	65022866.85
1121	64991608.15
1122	64950322.41
1123	64932239.15
1124	64922966.17
1125	64896710.59
1126	64888096
1127	64872526.22
1128	64841272.1
1129	64835596.35
1130	64803906.87
1131	64780827.83
1132	64756797.97
1133	64719510.67
1134	64698926.06
1135	64678657.45
1136	64656727.93
1137	64652272.46
1138	64636385.81
1139	64614743.84
1140	64592376.62
1141	64557909.1
1142	64523747.64
1143	64490098.68
1144	64461572.15
1145	64454170.59
1146	64419585.17
1147	64389480.04
1148	64352261.98
1149	64334914.88
1150	64299758.31
1151	64283047.95
1152	64255019.02
1153	64246774.67
1154	64234385.18
1155	64219804.98
1156	64192357.22
1157	64187152.35
1158	64178843.84
1159	64161895.87
1160	64134958.28
1161	64087163.69
1162	64065267.95
1163	64041168.68
1164	63999232.17
1165	63991123.1
1166	63971982.64
1167	63936047.66
1168	63908160.24
1169	63893478.78
1170	63886776.82
1171	63867755.29
1172	63844369.76
1173	63818357.13
1174	63776942.33
1175	63758618.21
1176	63733328.84
1177	63708558.57
1178	63694886.51
1179	63668074.1
1180	63663944.22
1181	63642314.96
