movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
Rachel Getting Married,3/10/08,"Drama,Romance",113,Jonathan Demme,"director,producer,writer",1944,2017,6.7,49863,5.200462389174777,12000000,12796861,17475475
Doubt,12/12/08,"Drama,Mystery",104,John Patrick Shanley,"writer,director,soundtrack",1950,alive,7.5,131258,6.371245967023701,20000000,33446470,53191101
