movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
Rachel Getting Married,2008-10-03,"Drama,Romance",113.0,Jonathan Demme,"director,producer,writer",1944,2017,6.7,49863.0,5.200462389174777,12000000,12796861,17475475
Doubt,2008-12-12,"Drama,Mystery",104.0,John Patrick Shanley,"writer,director,soundtrack",1950,alive,7.5,131258.0,6.371245967023701,20000000,33446470,53191101
